OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Aggregatibacter.actinomycetemcomitans_P25,Actinomyces.viscosus_P22,Gemella.haemolysans_P05,Capnocytophaga.sp..FDAARGOS_737_P24,Actinomyces.sp..ZJ34_P26,Campylobacter.concisus_P08,,
Aggregatibacter.actinomycetemcomitans_P27,Actinomyces.viscosus_P23,Gemella.haemolysans_P07,Capnocytophaga.sp..FDAARGOS_737_P27,Actinomyces.sp..ZJ34_P27,Campylobacter.concisus_P11,,
Aggregatibacter.sp..oral.taxon.513_P05,Actinomyces.viscosus_P24,Gemella.haemolysans_P08,Cardiobacterium.hominis_P06,Actinomyces.viscosus_P03,Campylobacter.concisus_P13,,
Aggregatibacter.sp..oral.taxon.513_P06,Actinomyces.viscosus_P25,Gemella.haemolysans_P09,Caudovirales.sp._P05,Actinomyces.viscosus_P05,Campylobacter.concisus_P14,,
Aggregatibacter.sp..oral.taxon.513_P07,Actinomyces.viscosus_P26,Gemella.haemolysans_P11,Caudovirales.sp._P08,Actinomyces.viscosus_P06,Campylobacter.concisus_P15,,
Aggregatibacter.sp..oral.taxon.513_P11,Actinomyces.viscosus_P27,Gemella.haemolysans_P13,Caudovirales.sp._P13,Actinomyces.viscosus_P07,Campylobacter.concisus_P16,,
Aggregatibacter.sp..oral.taxon.513_P13,Actinomyces.weissii_P03,Gemella.haemolysans_P14,Caudovirales.sp._P17,Actinomyces.viscosus_P08,Campylobacter.concisus_P17,,
Aggregatibacter.sp..oral.taxon.513_P15,Actinomyces.weissii_P05,Gemella.haemolysans_P15,Caudovirales.sp._P18,Actinomyces.viscosus_P09,Campylobacter.concisus_P18,,
Aggregatibacter.sp..oral.taxon.513_P18,Actinomyces.weissii_P07,Gemella.haemolysans_P19,Caudovirales.sp._P19,Actinomyces.viscosus_P11,Campylobacter.concisus_P19,,
Aggregatibacter.sp..oral.taxon.513_P23,Actinomyces.weissii_P08,Gemella.haemolysans_P20,Caudovirales.sp._P20,Actinomyces.viscosus_P13,Campylobacter.concisus_P20,,
Aggregatibacter.sp..oral.taxon.513_P25,Actinomyces.weissii_P09,Gemella.haemolysans_P22,Caudovirales.sp._P22,Actinomyces.viscosus_P14,Campylobacter.concisus_P23,,
Bacteroides.heparinolyticus_P03,Actinomyces.weissii_P11,Gemella.haemolysans_P23,Caudovirales.sp._P26,Actinomyces.viscosus_P15,Campylobacter.concisus_P25,,
Bacteroides.heparinolyticus_P05,Actinomyces.weissii_P14,Gemella.haemolysans_P25,Dialister.pneumosintes_P03,Actinomyces.viscosus_P16,Campylobacter.concisus_P26,,
Bacteroides.heparinolyticus_P06,Actinomyces.weissii_P15,Gemella.haemolysans_P26,Dialister.pneumosintes_P05,Actinomyces.viscosus_P17,Campylobacter.showae_P03,,
Bacteroides.heparinolyticus_P08,Actinomyces.weissii_P19,Gemella.haemolysans_P27,Dialister.pneumosintes_P06,Actinomyces.viscosus_P18,Campylobacter.showae_P05,,
Bacteroides.heparinolyticus_P09,Actinomyces.weissii_P21,Haemophilus.haemolyticus_P06,Dialister.pneumosintes_P08,Actinomyces.viscosus_P19,Campylobacter.showae_P07,,
Bacteroides.heparinolyticus_P11,Actinomyces.weissii_P22,Haemophilus.haemolyticus_P07,Dialister.pneumosintes_P13,Actinomyces.viscosus_P20,Campylobacter.showae_P08,,
Bacteroides.heparinolyticus_P13,Actinomyces.weissii_P24,Haemophilus.haemolyticus_P08,Dialister.pneumosintes_P16,Actinomyces.viscosus_P21,Campylobacter.showae_P11,,
Bacteroides.heparinolyticus_P14,Actinomyces.weissii_P25,Haemophilus.haemolyticus_P09,Dialister.pneumosintes_P18,Actinomyces.viscosus_P22,Campylobacter.showae_P13,,
Bacteroides.heparinolyticus_P15,Actinomyces.wuliandei_P03,Haemophilus.haemolyticus_P11,Dialister.pneumosintes_P19,Actinomyces.viscosus_P23,Campylobacter.showae_P14,,
Bacteroides.heparinolyticus_P16,Actinomyces.wuliandei_P09,Haemophilus.haemolyticus_P13,Dialister.pneumosintes_P22,Actinomyces.viscosus_P24,Campylobacter.showae_P16,,
Bacteroides.heparinolyticus_P18,Actinomyces.wuliandei_P19,Haemophilus.haemolyticus_P14,Dialister.pneumosintes_P23,Actinomyces.viscosus_P25,Campylobacter.showae_P17,,
Bacteroides.heparinolyticus_P19,Actinomyces.wuliandei_P21,Haemophilus.haemolyticus_P17,Dialister.pneumosintes_P24,Actinomyces.viscosus_P26,Campylobacter.showae_P20,,
Bacteroides.heparinolyticus_P20,Actinomyces.wuliandei_P24,Haemophilus.haemolyticus_P19,Dialister.pneumosintes_P27,Actinomyces.viscosus_P27,Campylobacter.showae_P21,,
Bacteroides.heparinolyticus_P21,Actinomyces.wuliandei_P25,Haemophilus.haemolyticus_P20,Gemella.morbillorum_P18,Actinomyces.weissii_P03,Campylobacter.showae_P22,,
